sample_id,device_id,cache_index,victim_clean_correct,evaluator_clean_correct,dual_clean_correct,selected
wifib|device=6|capture=23Jan|frame=2786|row=2222,6,52049,True,True,True,False
wifib|device=6|capture=23Jan|frame=2424|row=1916,6,51743,True,True,True,False
wifib|device=6|capture=23Jan|frame=2764|row=2202,6,52029,True,True,True,False
wifib|device=6|capture=23Jan|frame=2536|row=2016,6,51843,True,True,True,False
wifib|device=6|capture=23Jan|frame=2243|row=1763,6,51590,False,True,False,False
wifib|device=6|capture=23Jan|frame=2521|row=2001,6,51828,False,True,False,False
wifib|device=6|capture=23Jan|frame=2525|row=2005,6,51832,True,True,True,False
wifib|device=6|capture=23Jan|frame=2323|row=1835,6,51662,True,True,True,False
wifib|device=6|capture=23Jan|frame=2505|row=1987,6,51814,False,True,False,False
wifib|device=6|capture=23Jan|frame=2651|row=2111,6,51938,True,True,True,False
wifib|device=6|capture=23Jan|frame=2343|row=1853,6,51680,True,True,True,False
wifib|device=6|capture=23Jan|frame=2653|row=2113,6,51940,True,True,True,False
wifib|device=6|capture=23Jan|frame=2399|row=1897,6,51724,True,True,True,False
wifib|device=6|capture=23Jan|frame=2312|row=1826,6,51653,True,True,True,False
wifib|device=6|capture=23Jan|frame=2591|row=2059,6,51886,True,True,True,False
wifib|device=6|capture=23Jan|frame=2288|row=1806,6,51633,True,True,True,False
wifib|device=6|capture=23Jan|frame=2376|row=1882,6,51709,True,True,True,False
wifib|device=6|capture=23Jan|frame=2358|row=1866,6,51693,True,True,True,False
wifib|device=6|capture=23Jan|frame=2370|row=1876,6,51703,True,True,True,False
wifib|device=6|capture=23Jan|frame=2498|row=1980,6,51807,False,True,False,False
wifib|device=6|capture=23Jan|frame=2495|row=1977,6,51804,True,True,True,False
wifib|device=6|capture=23Jan|frame=2709|row=2159,6,51986,False,True,False,False
wifib|device=6|capture=23Jan|frame=2594|row=2060,6,51887,False,True,False,False
wifib|device=6|capture=23Jan|frame=2672|row=2130,6,51957,True,True,True,False
wifib|device=6|capture=23Jan|frame=2716|row=2162,6,51989,False,True,False,False
wifib|device=6|capture=23Jan|frame=2724|row=2168,6,51995,True,True,True,False
wifib|device=6|capture=23Jan|frame=2450|row=1940,6,51767,True,True,True,False
wifib|device=6|capture=23Jan|frame=2546|row=2026,6,51853,True,True,True,False
wifib|device=6|capture=23Jan|frame=2434|row=1924,6,51751,False,True,False,False
wifib|device=6|capture=23Jan|frame=2532|row=2012,6,51839,True,True,True,False
wifib|device=6|capture=23Jan|frame=2255|row=1775,6,51602,True,True,True,False
wifib|device=6|capture=23Jan|frame=2329|row=1841,6,51668,True,True,True,False
wifib|device=6|capture=23Jan|frame=2353|row=1863,6,51690,True,True,True,False
wifib|device=6|capture=23Jan|frame=2377|row=1883,6,51710,True,True,True,False
wifib|device=6|capture=23Jan|frame=2562|row=2036,6,51863,True,True,True,False
wifib|device=6|capture=23Jan|frame=2313|row=1827,6,51654,False,True,False,False
wifib|device=6|capture=23Jan|frame=2715|row=2161,6,51988,False,True,False,False
wifib|device=6|capture=23Jan|frame=2427|row=1919,6,51746,False,True,False,False
wifib|device=6|capture=23Jan|frame=2643|row=2103,6,51930,True,True,True,False
wifib|device=6|capture=23Jan|frame=2357|row=1865,6,51692,True,True,True,False
wifib|device=6|capture=23Jan|frame=2426|row=1918,6,51745,False,True,False,False
wifib|device=6|capture=23Jan|frame=2368|row=1874,6,51701,True,True,True,False
wifib|device=6|capture=23Jan|frame=2384|row=1888,6,51715,True,True,True,False
wifib|device=6|capture=23Jan|frame=2734|row=2176,6,52003,False,True,False,False
wifib|device=6|capture=23Jan|frame=2477|row=1963,6,51790,True,True,True,False
wifib|device=6|capture=23Jan|frame=2333|row=1845,6,51672,False,True,False,False
wifib|device=6|capture=23Jan|frame=2454|row=1944,6,51771,True,True,True,False
wifib|device=6|capture=23Jan|frame=2351|row=1861,6,51688,True,True,True,False
wifib|device=6|capture=23Jan|frame=2784|row=2220,6,52047,True,True,True,False
wifib|device=6|capture=23Jan|frame=2446|row=1936,6,51763,True,True,True,False
wifib|device=6|capture=23Jan|frame=2631|row=2091,6,51918,True,True,True,False
wifib|device=6|capture=23Jan|frame=2732|row=2174,6,52001,True,True,True,False
wifib|device=6|capture=23Jan|frame=2227|row=1749,6,51576,True,True,True,False
wifib|device=6|capture=23Jan|frame=2692|row=2148,6,51975,True,True,True,False
wifib|device=6|capture=23Jan|frame=2230|row=1752,6,51579,True,True,True,False
wifib|device=6|capture=23Jan|frame=2506|row=1988,6,51815,True,True,True,False
wifib|device=6|capture=23Jan|frame=2233|row=1755,6,51582,True,True,True,False
wifib|device=6|capture=23Jan|frame=2606|row=2070,6,51897,False,True,False,False
wifib|device=6|capture=23Jan|frame=2413|row=1907,6,51734,True,True,True,False
wifib|device=6|capture=23Jan|frame=2280|row=1798,6,51625,True,True,True,False
wifib|device=6|capture=23Jan|frame=2307|row=1823,6,51650,True,True,True,False
wifib|device=6|capture=23Jan|frame=2294|row=1812,6,51639,False,True,False,False
wifib|device=6|capture=23Jan|frame=2483|row=1967,6,51794,True,True,True,False
wifib|device=6|capture=23Jan|frame=2251|row=1771,6,51598,False,True,False,False
wifib|device=6|capture=23Jan|frame=2285|row=1803,6,51630,False,True,False,False
wifib|device=6|capture=23Jan|frame=2703|row=2153,6,51980,False,True,False,False
wifib|device=6|capture=23Jan|frame=2615|row=2077,6,51904,False,True,False,False
wifib|device=6|capture=23Jan|frame=2781|row=2217,6,52044,True,True,True,False
wifib|device=6|capture=23Jan|frame=2742|row=2184,6,52011,True,True,True,False
wifib|device=6|capture=23Jan|frame=2363|row=1869,6,51696,True,True,True,False
wifib|device=6|capture=23Jan|frame=2635|row=2095,6,51922,False,True,False,False
wifib|device=6|capture=23Jan|frame=2324|row=1836,6,51663,True,True,True,False
wifib|device=6|capture=23Jan|frame=2757|row=2197,6,52024,True,True,True,False
wifib|device=6|capture=23Jan|frame=2284|row=1802,6,51629,False,True,False,False
wifib|device=6|capture=23Jan|frame=2443|row=1933,6,51760,True,True,True,False
wifib|device=6|capture=23Jan|frame=2467|row=1953,6,51780,True,True,True,False
wifib|device=6|capture=23Jan|frame=2276|row=1794,6,51621,True,True,True,False
wifib|device=6|capture=23Jan|frame=2240|row=1760,6,51587,True,True,True,False
